127.0.0.1 - - [17/Aug/2020:09:37:24 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Aug/2020:09:37:27 +0900] "GET /StudyJSP/jsp2/cookieForm.jsp HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [17/Aug/2020:09:37:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Aug/2020:10:12:37 +0900] "GET /StudyJSP/jsp2/cookieDel.jsp HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [17/Aug/2020:10:12:38 +0900] "GET /StudyJSP/jsp2/cookieForm.jsp HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [17/Aug/2020:10:12:40 +0900] "GET /StudyJSP/jsp2/cookieSet.jsp HTTP/1.1" 500 2705
0:0:0:0:0:0:0:1 - - [17/Aug/2020:10:12:48 +0900] "GET /StudyJSP/jsp2/cookieForm.jsp HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [17/Aug/2020:10:12:49 +0900] "GET /StudyJSP/jsp2/cookieForm.jsp HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [17/Aug/2020:10:12:50 +0900] "GET /StudyJSP/jsp2/cookieSet.jsp HTTP/1.1" 500 2705
0:0:0:0:0:0:0:1 - - [17/Aug/2020:10:13:30 +0900] "GET /StudyJSP/jsp2/cookieSet.jsp HTTP/1.1" 500 2705
0:0:0:0:0:0:0:1 - - [17/Aug/2020:10:13:32 +0900] "GET /StudyJSP/jsp2/cookieForm.jsp HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [17/Aug/2020:10:13:39 +0900] "GET /StudyJSP/jsp2/cookieForm.jsp HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [17/Aug/2020:10:13:40 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Aug/2020:10:13:40 +0900] "GET /favicon.ico HTTP/1.1" 404 818
