127.0.0.1 - - [18/Aug/2020:14:09:40 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Aug/2020:14:09:43 +0900] "GET /StudyJSP/jsp2/cookieExample2.jsp HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [18/Aug/2020:14:09:43 +0900] "GET /StudyJSP/jsp2/cookieExample1.jsp HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [18/Aug/2020:14:09:44 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Aug/2020:14:09:44 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Aug/2020:14:10:01 +0900] "GET /StudyJSP/jsp2/cookieExample2.jsp HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [18/Aug/2020:14:10:02 +0900] "GET /StudyJSP/jsp2/cookieExample1.jsp HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [18/Aug/2020:14:10:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Aug/2020:14:10:19 +0900] "POST /StudyJSP/jsp2/cookieExample2.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [18/Aug/2020:14:10:20 +0900] "GET /StudyJSP/jsp2/cookieExample1.jsp HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [18/Aug/2020:14:10:22 +0900] "POST /StudyJSP/jsp2/cookieExample2.jsp HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [18/Aug/2020:14:10:23 +0900] "GET /StudyJSP/jsp2/cookieExample1.jsp HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [18/Aug/2020:14:56:56 +0900] "GET /StudyJSP/WEB-INF/classes/sql.java HTTP/1.1" 404 721
