127.0.0.1 - - [31/Aug/2020:11:07:32 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/Aug/2020:11:07:35 +0900] "GET /StudyJSP/jsp4/loginForm.jsp HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [31/Aug/2020:11:07:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [31/Aug/2020:11:07:42 +0900] "POST /StudyJSP/jsp4/loginPro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Aug/2020:11:07:42 +0900] "GET /StudyJSP/jsp4/main.jsp HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [31/Aug/2020:11:07:44 +0900] "GET /StudyJSP/jsp4/updateForm.jsp HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [31/Aug/2020:11:07:50 +0900] "POST /StudyJSP/jsp4/updatePro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Aug/2020:11:07:50 +0900] "GET /StudyJSP/jsp4/main.jsp HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [31/Aug/2020:11:31:16 +0900] "GET /StudyJSP/jsp4/deleteForm.jsp HTTP/1.1" 200 379
0:0:0:0:0:0:0:1 - - [31/Aug/2020:11:37:43 +0900] "GET /StudyJSP/jsp4/logout.jsp HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [31/Aug/2020:11:37:44 +0900] "GET /StudyJSP/jsp4/main.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Aug/2020:11:37:44 +0900] "GET /StudyJSP/jsp4/login.jsp HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [31/Aug/2020:11:37:45 +0900] "GET /StudyJSP/jsp4/login.jsp HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [31/Aug/2020:11:37:46 +0900] "GET /StudyJSP/jsp4/login.jsp HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [31/Aug/2020:11:37:46 +0900] "GET /StudyJSP/jsp4/login.jsp HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [31/Aug/2020:11:37:46 +0900] "GET /StudyJSP/jsp4/login.jsp HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [31/Aug/2020:11:37:46 +0900] "GET /StudyJSP/jsp4/login.jsp HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [31/Aug/2020:11:37:46 +0900] "GET /StudyJSP/jsp4/login.jsp HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [31/Aug/2020:11:38:00 +0900] "GET /StudyJSP/jsp4/login.jsp HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [31/Aug/2020:11:38:07 +0900] "GET /StudyJSP/jsp4/loginForm.jsp HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [31/Aug/2020:11:38:08 +0900] "GET /StudyJSP/jsp4/loginForm.jsp HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [31/Aug/2020:11:38:09 +0900] "GET /StudyJSP/jsp4/loginForm.jsp HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [31/Aug/2020:11:38:09 +0900] "GET /StudyJSP/jsp4/loginForm.jsp HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [31/Aug/2020:11:38:09 +0900] "GET /StudyJSP/jsp4/loginForm.jsp HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [31/Aug/2020:11:38:26 +0900] "GET /StudyJSP/jsp4/main.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Aug/2020:11:38:26 +0900] "GET /StudyJSP/jsp4/login.jsp HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [31/Aug/2020:11:38:36 +0900] "GET /StudyJSP/jsp4/main.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Aug/2020:11:38:36 +0900] "GET /StudyJSP/jsp4/login.jsp HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [31/Aug/2020:11:39:01 +0900] "GET /StudyJSP/jsp4/insertForm.jsp HTTP/1.1" 200 535
0:0:0:0:0:0:0:1 - - [31/Aug/2020:11:39:09 +0900] "POST /StudyJSP/jsp4/insertPro.jsp HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [31/Aug/2020:11:39:10 +0900] "GET /StudyJSP/jsp4/loginForm.jsp HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [31/Aug/2020:11:39:14 +0900] "POST /StudyJSP/jsp4/loginPro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Aug/2020:11:39:14 +0900] "GET /StudyJSP/jsp4/main.jsp HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [31/Aug/2020:11:39:25 +0900] "GET /StudyJSP/jsp4/deleteForm.jsp HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [31/Aug/2020:11:39:29 +0900] "POST /StudyJSP/jsp4/deletePro.jsp HTTP/1.1" 500 4401
0:0:0:0:0:0:0:1 - - [31/Aug/2020:11:48:15 +0900] "POST /StudyJSP/jsp4/deletePro.jsp HTTP/1.1" 500 4019
0:0:0:0:0:0:0:1 - - [31/Aug/2020:11:48:19 +0900] "POST /StudyJSP/jsp4/deletePro.jsp HTTP/1.1" 500 4019
0:0:0:0:0:0:0:1 - - [31/Aug/2020:11:52:04 +0900] "POST /StudyJSP/jsp4/deletePro.jsp HTTP/1.1" 500 4020
0:0:0:0:0:0:0:1 - - [31/Aug/2020:11:52:06 +0900] "POST /StudyJSP/jsp4/deletePro.jsp HTTP/1.1" 500 4020
